starting timestamp(0),starting time(1),rhd version(2),system_UUID(3),mac_address(4),vm_instance(5),GPU type(6),GFlops(7),disk speed(8),GPU number(9),Images Number(10),batch size(11),Real Iterations Number(12),epochs(13),training time(14),overall execution time(15),missing time(16),repetition number(17),path(18)
1562745300,2019-07-10 07:55:00,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,1000,64,12,1,26.41246509552002,67.95023918151854,41.53777408599853,0,/home/logstorage/output/upvdocker1GPU/rhd/ni_1000_ep_1_bs_64/2019-07-10_07-55-00/0
1562745370,2019-07-10 07:56:10,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,1000,32,24,1,24.623650312423703,64.19996237754822,39.576312065124505,0,/home/logstorage/output/upvdocker1GPU/rhd/ni_1000_ep_1_bs_32/2019-07-10_07-56-10/0
1562745436,2019-07-10 07:57:16,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,1000,16,49,1,24.469053983688354,63.16933417320252,38.70028018951415,0,/home/logstorage/output/upvdocker1GPU/rhd/ni_1000_ep_1_bs_16/2019-07-10_07-57-16/0
1562745501,2019-07-10 07:58:21,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,1000,8,99,1,25.40923547744751,61.59030294418335,36.18106746673585,0,/home/logstorage/output/upvdocker1GPU/rhd/ni_1000_ep_1_bs_8/2019-07-10_07-58-21/0
1562745565,2019-07-10 07:59:25,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,1000,4,198,1,27.499103307724,58.767257928848274,31.268154621124268,0,/home/logstorage/output/upvdocker1GPU/rhd/ni_1000_ep_1_bs_4/2019-07-10_07-59-24/0
1562746966,2019-07-10 08:22:46,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,100,8,20,2,7.7652058601379395,23.37299489974976,15.607789039611815,0,/home/logstorage/output/upvdocker1GPU/rhd/ni_100_ep_2_bs_8/2019-07-10_08-22-46/0
1562746990,2019-07-10 08:23:10,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,100,8,20,2,7.6364123821258545,23.33018445968628,15.693772077560425,1,/home/logstorage/output/upvdocker1GPU/rhd/ni_100_ep_2_bs_8/2019-07-10_08-22-46/1
1562747015,2019-07-10 08:23:35,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,100,4,40,2,7.877064943313599,23.14894151687622,15.271876573562622,0,/home/logstorage/output/upvdocker1GPU/rhd/ni_100_ep_2_bs_4/2019-07-10_08-23-35/0
1562747038,2019-07-10 08:23:58,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,100,4,40,2,7.755470514297485,22.508552312850952,14.753081798553467,1,/home/logstorage/output/upvdocker1GPU/rhd/ni_100_ep_2_bs_4/2019-07-10_08-23-35/1
1562747345,2019-07-10 08:29:05,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,100,8,30,3,9.95535135269165,26.70473980903625,16.749388456344604,0,/home/logstorage/output/upvdocker1GPU/rhd/ni_100_ep_3_bs_8/2019-07-10_08-29-05/0
1562747372,2019-07-10 08:29:32,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,100,8,30,3,9.908379554748537,26.572381019592285,16.66400146484375,1,/home/logstorage/output/upvdocker1GPU/rhd/ni_100_ep_3_bs_8/2019-07-10_08-29-05/1
1562747401,2019-07-10 08:30:01,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,100,4,60,3,10.383688926696776,28.877407550811768,18.493718624114987,0,/home/logstorage/output/upvdocker1GPU/rhd/ni_100_ep_3_bs_4/2019-07-10_08-30-00/0
1562747430,2019-07-10 08:30:30,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,100,4,60,3,10.269208192825316,22.54820466041565,12.278996467590332,1,/home/logstorage/output/upvdocker1GPU/rhd/ni_100_ep_3_bs_4/2019-07-10_08-30-00/1
1562751340,2019-07-10 09:35:40,a93e1ed,NaN,00:00:00:00:00:00,upvdocker1GPU,Tesla V100,14899,270,1,100,8,50,5,14.485740184783936,29.564396619796753,15.078656435012816,0,/home/logstorage/output/upvdocker1GPU/rhd/ni_100_ep_5_bs_8/2019-07-10_09-35-40/0
